x,y,name
-0.29276937,9.664916,Sales Development Representative
-4.070903,1.2249542,인프라 담당자
3.4811382,1.6761786,안드로이드 앱 개발자
-1.1832111,7.6941485,디지털 혁신팀 컨설턴트
1.6985765,10.190361,펫닥 SCM Junior급(1~3년차)
-2.9307494,8.905769,노트폴리오 커뮤니티/성장 파트 Lead
-4.6638947,10.978648,조연출 PD
-2.3303504,7.1194715,IP상품기획
-0.09691559,10.530102,해외 여행상품 영업/기획
-5.779307,10.259269,콘텐츠 디자이너 (서울/부산)
-3.4218473,10.9492855,캠페인팀 1년차 - 3년차
1.8029317,0.39115727,Node JS 웹 백엔드 개발자
-0.6728857,11.544018,eCommerce MD Part Lead (이커머스 MD 파트 리더)
-2.2543533,6.8091116,서비스기획 (3년 이상)
-5.568884,9.073852,컨텐츠 디자이너
4.683161,7.6557636,[위메프] 인사팀장
-4.382516,5.875161,[마미톡] DesignOps Designer
-2.1138244,3.977964,Application architect
-6.5020885,11.0383005,영상 편집 담당자
-0.14361215,7.5422263,VIP 영업
-1.8055841,7.9536,커뮤니티 매니저
5.42017,8.40028,[마켓컬리] 인사보상(C&B) 매니저
-0.38392237,-1.6875906,JAVA웹개발
-3.9633536,4.243992,QA 담당자
-0.7831857,3.232684,Web Front-end 개발자
-3.8181612,12.649949,OGN AD Specialist
-4.3903666,6.7604446,UI/UX기획자(책임/수석)
1.0759423,0.11915528,Front-End Engineer [숙박플랫폼개발부문]
-6.9340053,10.436219,모션 그래픽 영상 디자이너
-1.9177963,13.420956,프로덕트 스페셜리스트 Product Specialist (신입 가능)
-1.7282978,8.512382,CS 및 운영 매니저 [채용사업팀]
-4.1305227,3.4119508,[ESTsecurity] QA 담당자
-6.154239,10.255595,[콜로소] 마케팅 디자인 어시스턴트 (1년 계약직)
1.5672967,0.29804122,가상자산거래소 프론트엔드 개발
-4.8942966,6.921397,[채널톡] 프로덕트 디자이너(UX/UI)
-4.7795734,5.673466,UX Research Lead
-4.8191066,5.5037127,UX Researcher
1.7466241,2.8068292,[쿠팡 이츠] Mobile Engineer (Android)
-0.6835227,3.7834313,[쿠팡 이츠] iOS Mobile Engineer
1.0582329,2.7384615,코미코 Android 앱개발
0.9133554,2.3452368,코미코 iOS 앱개발
-0.4744727,2.2840755,코미코 백엔드 개발
-0.11238243,7.891415,부정거래(FDS) 담당자 모집(5년이상)
-0.87193596,6.8082323,대외결제 Product Manager
3.6473503,8.596167,자금세탁방지(AML) 담당자
-2.720241,6.09532,Product Owner (Discovery)
-3.0025437,12.98901,퍼포먼스 마케팅 매니저 (DA 담당)
-2.1597385,9.016993,UT Coordinator & Moderator (일본어)
-8.321298,8.512399,3D 캐릭터 모델러
-8.460015,8.603589,3D 애니메이터
-2.9219651,10.529747,Global Communications Manager
4.3253794,10.05798,Sr. Accountant
-1.705491,9.192573,Product Owner (셀러그로스)
-2.652003,5.830068,Product Owner (리뷰&커뮤니티)
-6.825023,6.096755,[CX센터] Platform Designer
-3.5965056,0.55873114,[DevOps팀] Middle DevOps Engineer
-3.2936976,0.3041563,[DevOps팀] Junior DevOps Engineer
